,,,,,,,,,,,
,ID,,タイトル,Z,X,S,TOOL,RPM,SPD,ANG,Z
,01,スタート,バイト・回転数・送り速度を入れて刃物台を回転させても大丈夫な位置,30,60,,外径荒,570,1,,60
,02,端面荒,端面の座標Z0の基準点を作る(荒),10,60,,外径荒,570,1,,10
,03,端面荒,刃先を端面に近づける,10,45,,外径荒,570,1,,10
,04,端面荒,刃先を軽く当てる,0.5,45,,外径荒,570,1,,0.5
,05,端面荒,中ハンドルで外に戻す,0.5,60,,外径荒,570,1,,0.5
,06,端面荒,小ハンドルのゼロセット,0.5,60,,外径荒,570,1,,0.5
,07,端面荒,小ハンドルで切込量0.4mmセット,0.1,60,,外径荒,570,1,,0.1
,08,端面荒,中ハンドルで削る,0.1,-1,,外径荒,570,1,,0.1
,09,端面荒,中ハンドルで外に戻す,0.1,60,,外径荒,570,1,,0.1
,10,端面荒,スタート位置へ,30,60,,外径荒,570,1,,60
,10,スタート,バイト・回転数・送り速度を入れて刃物台を回転させても大丈夫な位置,30,60,,外径仕上げ,1800,1,,60
,11,端面仕上,端面の座標Z0の基準点を作る(仕上),10,60,,外径仕上げ,1800,1,,10
,12,端面仕上,刃先を端面に近づける,10,45,,外径仕上げ,1800,1,,10
,13,端面仕上,刃先を軽く当てる,0.1,45,,外径仕上げ,1800,1,,0.1
,14,端面仕上,中ハンドルで外に戻す,0.1,60,,外径仕上げ,1800,1,,0.1
,15,端面仕上,小ハンドルのゼロセット,0.1,60,,外径仕上げ,1800,1,,0.1
,16,端面仕上,小ハンドルで切込量0.1mmセット,0.1,60,,外径仕上げ,1800,1,,0.1
,17,端面仕上,中ハンドルで削る,0,-1,,外径仕上げ,1800,1,,0
,18,端面仕上,中ハンドルで外に戻す,0,60,,外径仕上げ,1800,1,,0
,19,端面仕上,スタート位置へ,30,60,,外径仕上げ,1800,1,,60
,19,スタート,バイト・回転数・送り速度を入れて刃物台を回転させても大丈夫な位置,30,60,,外径荒,570,1,,60
,20,ケガキ60mm,基準点Z0を大ハンドルにセットする準備,10,60,,外径荒,570,1,,10
,21,ケガキ60mm,刃先を端面に近づける,10,45,,外径荒,570,1,,10
,22,ケガキ60mm,刃先を軽く当てる,0,45,,外径荒,570,1,,0
,23,ケガキ60mm,中ハンドルで外に戻す,0,60,,外径荒,570,1,,0
,24,ケガキ60mm,大ハンドルのゼロセット,0,60,,外径荒,570,1,,0
,25,ケガキ60mm,大ハンドルを60mmの位置へ左へ移動,-60,60,,外径荒,570,1,,-60
,26,ケガキ60mm,刃先軽く当てる,-60,49,,外径荒,570,1,,-60
